产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
GROCERIES BEANIE,HO8191004|WNE|ONE,$16.00,$0,WINE,['ONE SIZE'],"['O-Neill Men-s dock wear cuff beanie', 'Ribbed knit', 'Woven label', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_wne_f_c729633c-e780-487e-975c-94ae455d52d6.jpg?v=1538432542', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_wne_1.jpg?v=1538432542', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_wne_b.jpg?v=1538432542']",1,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8191004-wne-groceries
TOKEN BEANIE,HO8191001|HGR|ONE,$28.00,$0,HEATHER GREY,['ONE SIZE'],"['O-Neill Men-s dock wear cuff beanie', 'Waffle knit', 'Woven label', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/2034/7683/products/token_HO8191001_hgr_f_d8904bee-36c9-4bf1-837a-53ff386d9fc7.jpg?v=1537826668', 'https://cdn.shopify.com/s/files/1/2034/7683/products/token_HO8191001_hgr_b.jpg?v=1537826668', 'https://cdn.shopify.com/s/files/1/2034/7683/products/token_HO8191001_hgr_1.jpg?v=1537826668']",2,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8191001-hgr-token
SONOMA HAT,15192004|NAT|ONE,$19.50,$0,NATURAL,['ONE'],"['O-Neill Men-s lifeguard hat', 'Triple stack logo patch', 'Drawcord with cord lock', 'Brim across: 17', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sonoma_15192004_nat_f.jpg?v=1547055677', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_3.jpg?v=1547055677', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_f.jpg?v=1547055677', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_1.jpg?v=1547055677']",3,mens,1,https://us.oneill.com/collections/mens-hats/products/15192004-nat-sonoma-hat
SUNS OUT HAT,SP8792001|NAT|ONE,$26.00,$0,NATURAL,['ONE'],"['Jack O-Neill lifeguard hat', 'Logo patch', 'Drawcord with cord lock', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_1.jpg?v=1543530827', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_3.jpg?v=1543530827', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_f.jpg?v=1543530827', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_2.jpg?v=1543530827']",4,mens,1,https://us.oneill.com/collections/mens-hats/products/suns-out-hat
WETLANDS HAT,SP8192002|KHA|ONE,$26.00,$0,KHAKI,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_f.jpg?v=1540262370', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_1.jpg?v=1547055617', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_2.jpg?v=1547055618', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_f.jpg?v=1547055619', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_2.jpg?v=1547055620', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_3.jpg?v=1547055621', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_b.jpg?v=1547055622']",5,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-kha-wetlands-hat
WETLANDS HAT,SP8192002|BLK|ONE,$20.99,$26.00,BLACK,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_blk_f.jpg?v=1547055570', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_blk_b.jpg?v=1547055570', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_3.jpg?v=1547055570', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_blk_1.jpg?v=1547055570', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_f.jpg?v=1547055570', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_2.jpg?v=1547055570', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_blk_2.jpg?v=1547055570']",6,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-blk-wetlands-hat
SHIELD TRUCKER HAT,HO8196010|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s Flexfit® foam trucker hat', 'Mid profile, snapback design', 'Front logo patch and rear flag label', '55% Cotton, 45% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_blk_f.jpg?v=1537559900', 'https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_blk_b.jpg?v=1537559901']",7,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196010-blk-shield-trucker
SHIELD TRUCKER HAT,HO8196010|DKA|ONE,$19.99,$26.00,DARK ARMY,['ONE SIZE'],"['O-Neill Men-s Flexfit® foam trucker hat', 'Mid profile, snapback design', 'Front logo patch and rear flag label', '55% Cotton, 45% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_dka_f_da292067-d4d0-459e-9bfa-f8346a2b9333.jpg?v=1537291022', 'https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_dka_b.jpg?v=1537559912']",8,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196010-dka-shield-trucker
COUNTRY TRUCKER HAT,SP9196011|OCN|ONE,$28.00,$0,DARK OCEAN,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 6 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Front logo art', 'Rear flag label', '65% Cotton, 35% Poly\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/countrytrucker_SP9196011_ocn_f_312d4209-4040-4060-951a-b8e937d5a718.jpg?v=1545169567'],9,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196011-ocn-country-trucker
SUIT UP TRUCKER HAT,HO8196011|COF|ONE,$17.99,$24.00,COFFEE,['ONE SIZE'],"['O-Neill Men-s Flexfit® foam trucker hat', 'Mid profile, snapback design', 'Multi logo patch and rear flag label', '55% Cotton, 45% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/suituptrucker_HO8196011_cof_f_5eab854f-ca19-4085-8ff9-4cf297f12b49.jpg?v=1537291025', 'https://cdn.shopify.com/s/files/1/2034/7683/products/suituptrucker_HO8196011_cof_b.jpg?v=1537828474']",10,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196011-cof-suit-up-trucker
