产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Jordan Classic 99 Metal Jumpman,899657-100,￥249,￥0,白色,['all'],"['休闲舒适', 'Jordan Classic 99 Metal Jumpman 可调节运动帽采用经典六片式拼接巧搭标志性细节设计，打造舒适的日常佩戴感受。', '其他细节', '可调式扣带设计，打造专属舒适感', '刺绣孔眼，提升透气效果', '经典六片式拼接设计，经久耐用', '产品细节', '面料：57% 棉/43% 聚酯纤维。前片里料：57% 棉/43% 聚酯纤维。下帽檐：100% 聚酯纤维。', '不可洗涤', '显示颜色： 白色', '款式： 899657-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/lfhnkjxx7vlm9dozziqz/jordan-classic-99-metal-jumpman-可调节运动帽-JwCkRR.jpg'],可调节运动帽,1,男子,1,https://www.nike.com/cn/t/jordan-classic-99-metal-jumpman-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-JwCkRR/899657-100
Jordan Classic 99 Metal Jumpman,899657-010,￥249,￥0,黑,['all'],"['休闲舒适', 'Jordan Classic 99 Metal Jumpman 可调节运动帽采用经典六片式拼接巧搭标志性细节设计，打造舒适的日常佩戴感受。', '其他细节', '可调式扣带设计，打造专属舒适感', '刺绣孔眼，提升透气效果', '经典六片式拼接设计，经久耐用', '产品细节', '面料：57% 棉/43% 聚酯纤维。前片里料：57% 棉/43% 聚酯纤维。下帽檐：100% 聚酯纤维。', '不可洗涤', '显示颜色： 黑', '款式： 899657-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/tqsbns7vruowdniaq7ob/jordan-classic-99-metal-jumpman-可调节运动帽-JwCkRR.jpg'],可调节运动帽,1,男子,1,https://www.nike.com/cn/t/jordan-classic-99-metal-jumpman-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-JwCkRR/899657-010
Nike Run AW84,BV7717-476,￥179,￥0,游戏宝蓝/亮深红,['all'],"['经典舒适，助力畅跑', 'Nike Run AW84\xa0(Shanghai) 可调节跑步运动帽采用经典款型和可调节设计，打造舒适的个性化跑步佩戴体验。', '其他细节', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，耐用舒适', '产品细节', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ilgwuegmw2zrcxv3oe3i/run-aw84-可调节跑步运动帽-RkFMLw.jpg'],(Shanghai) 可调节跑步运动帽,5,男子,1,https://www.nike.com/cn/t/run-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-RkFMLw
Nike SB S+ Dunk Heritage 86,905704-101,￥169,￥0,白色/苍野灰,['all'],"['赛场内外，舒适无拘', 'Nike SB S+ Dunk Heritage 86 可调节运动帽，沿用经典裁剪设计，续写运动传奇，遮挡烈日骄阳，畅快滑板竞技，惬意休闲玩乐，尽皆适宜。', '其他细节', '背面可调式扣带打造个性化的贴合感', '经典六片式拼接设计，经久耐用', '刺绣孔眼营造出色的空气流通效果', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/苍野灰', '款式： 905704-101', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fwchvxwkanmbmlhjocrl/sb-s-dunk-heritage-86-可调节运动帽-2xbG2p.jpg'],可调节运动帽,6,男子,1,https://www.nike.com/cn/t/sb-s-dunk-heritage-86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2xbG2p/905704-101
Nike SB S+ Dunk Heritage 86,905704-011,￥169,￥0,黑/苍野灰,['all'],"['赛场内外，舒适无拘', 'Nike SB S+ Dunk Heritage 86 可调节运动帽，沿用经典裁剪设计，续写运动传奇，遮挡烈日骄阳，畅快滑板竞技，惬意休闲玩乐，尽皆适宜。', '其他细节', '背面可调式扣带打造个性化的贴合感', '经典六片式拼接设计，经久耐用', '刺绣孔眼营造出色的空气流通效果', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/苍野灰', '款式： 905704-011', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/wzan0k2lzzbypilipbtr/sb-s-dunk-heritage-86-可调节运动帽-2xbG2p.jpg'],可调节运动帽,6,男子,1,https://www.nike.com/cn/t/sb-s-dunk-heritage-86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2xbG2p/905704-011
Nike SB Performance,629243-010,￥169,￥0,黑/黑/黑/白色,['all'],"['经典造型，非凡透气', 'Nike SB Performance 运动帽采用凸起刺绣元素巧搭开放式网眼拼接和平檐剪裁，缔造经典风格和非凡透气性。', '其他细节', '六片式拼接设计配搭衬里镶边，舒适贴合', '刺绣式孔眼搭配网眼拼接设计带来出色透气性', '背面按扣设计，可随头围调节贴合感', '正面刺绣标志突显时尚气息', '产品细节', '面料：100% 聚酯纤维。前片拼接（背面）：92% 聚酯纤维/8% 棉。拼接背面部分：100% 聚酯纤维', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 629243-010', '产品信息描述以629243-010产品为参照，实物的具体信息若与参照物和网站产品图片有出入，请以实物为准。如有其它疑问，请联系我们。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/n3hnzixew8whhfe3bwpu/sb-performance-运动帽-VrTWeZyp.jpg'],运动帽,7,男子,1,https://www.nike.com/cn/t/sb-performance-%E8%BF%90%E5%8A%A8%E5%B8%BD-VrTWeZyp
Nike SB,AA9976-010,￥199,￥0,黑/白色/黑,['all'],"['日常基本之选', 'Nike SB 滑板针织帽妥善贴合头部，无论是街头出行还是滑板运动皆可营造出色包覆效果，是一款适合日常佩戴的经典单品。', '其他细节', '产品细节', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 黑/白色/黑', '款式： AA9976-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/gidwsqyabvswfc8pfrs3/sb-滑板针织帽-B8QFl4.jpg'],滑板针织帽,8,男子,1,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E9%92%88%E7%BB%87%E5%B8%BD-B8QFl4/AA9976-010
Nike SB,AA9976-652,￥199,￥0,热恋勃艮第酒红/白色/黑,['all'],"['日常基本之选', 'Nike SB 滑板针织帽妥善贴合头部，无论是街头出行还是滑板运动皆可营造出色包覆效果，是一款适合日常佩戴的经典单品。', '其他细节', '产品细节', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 热恋勃艮第酒红/白色/黑', '款式： AA9976-652', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ybdyfoqlfe6ktq3kibjo/sb-滑板针织帽-B8QFl4.jpg'],滑板针织帽,8,男子,1,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E9%92%88%E7%BB%87%E5%B8%BD-B8QFl4/AA9976-652
NikeCourt RF AeroBill H86,AH6985-100,￥169,￥0,白色/白色/黑,['all'],"['轻盈舒适', 'NikeCourt RF AeroBill H86 可调节运动帽采用轻盈速干面料，助你畅享清凉干爽、非凡舒适体验。', '其他细节', 'Dri-FIT 技术，有助于保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '刺绣孔眼，有效提升透气性', '可调节后部设计，打造专属舒适体验', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '\n', '手洗', '显示颜色： 白色/白色/黑', '款式： AH6985-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/xlypszqou3jhmdgtcc7f/nikecourt-rf-aerobill-h86-可调节运动帽-7DbFLh.jpg'],可调节运动帽,11,男子,1,https://www.nike.com/cn/t/nikecourt-rf-aerobill-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-7DbFLh/AH6985-100
