产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike PS x PG QS,CD4134-010,￥229,￥0,黑,['均码'],"['投入比賽', '其他细节', '腈纶纱线，柔软保暖', '可拆卸绒球，打造多样造型', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 黑', '款式： CD4134-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/prm3wm2doldizv9fpkfu/ps-10-pg-qs-针织帽-6RwqNh.jpg'],针织帽,1,womens,2,https://www.nike.com/cn/t/ps-10-pg-qs-%E9%92%88%E7%BB%87%E5%B8%BD-6RwqNh
Nike SB,AV7883-248,￥169,￥0,沙漠矿石黄,['均码'],"['迷彩设计，经典外观', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 沙漠矿石黄', '款式： AV7883-248']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/iiagb4lns7klwm8vjhjf/sb-trucker-滑板运动帽-NbS7Bh.jpg'],Trucker 滑板运动帽,5,womens,2,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-NbS7Bh
Nike Sportswear Tailwind,AV4783-010,￥199,￥0,黑/迷彩绿,['均码'],"['时尚设计，轻盈舒适', '其他细节', '不易撕裂面料，轻盈耐用', '产品细节', 'Carhartt 品牌标志', '面料：100% 棉。上帽檐/拼接：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/迷彩绿', '款式： AV4783-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bvvrq4upbvnbnzlvjevj/sportswear-tailwind-迷彩运动帽-cNPSDt.jpg'],迷彩运动帽,5,mens,1,https://www.nike.com/cn/t/sportswear-tailwind-%E8%BF%B7%E5%BD%A9%E8%BF%90%E5%8A%A8%E5%B8%BD-cNPSDt
Nike Featherlight Nathan Bell,AV7772-663,￥179,￥0,泡沫粉,['均码'],"['轻盈包覆', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性', '背面可调式扣合设计，缔造稳固贴合感', '内置汗带，有助导湿速干', '激光穿孔设计，打造出色透气性', 'Nathan Bell 设计手绘图案', '产品细节', '面料/里料：100% 聚酯纤维', '可机洗', '显示颜色： 泡沫粉', '款式： AV7772-663', '关于本系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/n1si3qaljvvkbndlyd2z/featherlight-nathan-bell-印花跑步运动帽-hCdCdq.jpg'],印花跑步运动帽,4,womens,2,https://www.nike.com/cn/t/featherlight-nathan-bell-%E5%8D%B0%E8%8A%B1%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-hCdCdq/AV7772-663
Nike ACG,AV4775-583,￥199,￥0,原子紫/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 原子紫/黑', '款式： AV4775-583']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/zsimw3yiaqljlsa4xf8e/acg-针织帽-nNWB5x.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-583
NikeLab ACG,AV4774-010,￥349,￥0,黑/赭黄/白,['均码'],"['为运动而生，动态贴合', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 黑/赭黄/白色', '款式： AV4774-010', '关于 NikeLab ACG 系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bef6vpbtdrzuqlazxefm/nikelab-acg-针织帽-6LMtmt.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt/AV4774-010
Nike,AV8006-492,￥179,￥0,空间蓝/哈瓦那红,['均码'],"['东京荣耀', '产品细节', '面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 空间蓝/哈瓦那红', '款式： AV8006-492']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/gmntzajjqf8uz8t7cqnz/跑步针织帽-8Cj5lR.jpg'],跑步针织帽,3,womens,2,https://www.nike.com/cn/t/%E8%B7%91%E6%AD%A5%E9%92%88%E7%BB%87%E5%B8%BD-8Cj5lR
Nike ACG,AV4775-010,￥199,￥0,黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 黑', '款式： AV4775-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ikmziflasuimeu3k4lfk/acg-针织帽-nNWB5x.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-010
Jordan Jumpman,AC4093-101,￥119,￥0,白色/黑,['均码'],"['弹力舒适', '产品细节', '面料：96% 锦纶/4% 二烯类弹性纤维', '可机洗', '显示颜色： 白色/黑', '款式： AC4093-101']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/rdh9gcrma90hocvwc3za/jordan-jumpman-头带（1-条）-pvTjMRB8.jpg'],头带（1 条）,6,mens,1,https://www.nike.com/cn/t/jordan-jumpman-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-pvTjMRB8/AC4093-101
Nike Swoosh,AC2285-010,￥49,￥59,黑/白色/白,['均码'],"['弹力舒适', '其他细节', '柔软的混纺棉料有效减少汗液干扰视线', '弹性面料舒适贴合', '产品细节', '面料：70% 棉/19% 锦纶/7% 聚酯纤维/4% 二烯类弹性纤维', '可机洗', '显示颜色： 黑/白色/白色', '款式： AC2285-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/uv8dz5ivs6xmwrvckj2c/swoosh-头带（1-条）-bkTvvrn4.jpg'],头带（1 条）,8,womens,2,https://www.nike.com/cn/t/swoosh-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-bkTvvrn4/AC2285-010
Nike ACG,AV4775-741,￥199,￥0,阿马里洛黄/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 阿马里洛黄/黑', '款式： AV4775-741']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/flt5pmowkmuokwthgqqu/acg-针织帽-nNWB5x.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-741
Nike Legacy 91,892651-100,￥159,￥0,白色/煤黑/黑,['均码'],"['专属舒适', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣孔眼，提升透气效果', '后部激光穿孔的魔术贴粘扣设计，打造专属的干爽舒适体验', '产品细节', '面料/前片拼接（正面）：100% 聚酯纤维。前片拼接（背面）：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/煤黑/黑', '款式： 892651-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/kv7cuvxetbdo45lcupui/legacy-91-可调节高尔夫运动帽-8gVL7w.jpg'],可调节高尔夫运动帽,13,womens,2,https://www.nike.com/cn/t/legacy-91-%E5%8F%AF%E8%B0%83%E8%8A%82%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-8gVL7w
