产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
RECYCLED CAP 帽子,DV0257,¥399,0,黑,['OSFM'],[],"['https://img.adidas.com.cn/resources/2019/1/11/15472034090018518_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034228958665_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034143646302_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034165934199_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034118601123_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034189501682_2000X2000.jpg']",中性 ORIGINALS,1,men,1,[],https://www.adidas.com.cn/item/DV0257?locale=zh_CN
CAP 帽子,DV0222,¥249,0,黑/白,['OSFW'],[],"['https://img.adidas.com.cn/resources/2019/1/11/15472035871709709_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035777421603_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035758971789_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035851163453_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035825039740_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035793636242_2000X2000.jpg']",女子 ORIGINALS,2,men,1,[],https://www.adidas.com.cn/item/DV0222?locale=zh_CN
SB CLASSIC TRE 帽子,DV0176,¥249,0,黑/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/1/11/15472035376083913_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035418929579_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035357405125_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035392594061_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035447747451_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035324486457_2000X2000.jpg']",中性 ORIGINALS,3,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/01/22', 'goods_comment_comment': '不错不错，要是有金标的就更好看了！'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFW', 'goods_comment_comment': '帽子非常好看，质量也好，适合出门旅行，酷'}]",https://www.adidas.com.cn/item/DV0176?locale=zh_CN
SAMSTAG ARC CAP 帽子,DU6799,¥349,0,红/青蓝,['OSFM'],[],"['https://img.adidas.com.cn/resources/2019/1/11/15472035542497580_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035595304030_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035612205875_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035519138051_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/1547203557127311_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035497075806_2000X2000.jpg']",中性 ORIGINALS,4,men,1,[],https://www.adidas.com.cn/item/DU6799?locale=zh_CN
运动帽,BK3049,¥249,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/1/9/15470253585266266_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470253646998633_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470253742167904_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470253803167363_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470253708016272_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470253887977453_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470253864272308_2000X2000.jpg']",中性 训练,5,men,1,[],https://www.adidas.com.cn/item/BK3049?locale=zh_CN
RUN CAP 帽子,DT5439,¥429,0,黑,['OSFW'],[],"['https://img.adidas.com.cn/resources/2019/1/9/15470310505956220_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310604125267_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310549447323_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310639597743_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310522808990_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310577872990_2000X2000.jpg']",女子 adidas by Stella McCartney,6,men,1,[],https://www.adidas.com.cn/item/DT5439?locale=zh_CN
6P 3S CAP COTTO 运动帽,DU0196,¥99,0,黑/白/白,"['OSFW', 'OSFM']","[' 这款帽子采用Climalite面料打造，力求助你保持干爽。背面配可调节按扣，预成型帽檐缀三条纹标志。 ', 'Climalite面料', '中号预成型帽檐缀刺绣三条纹', '背面可调节束带配扣环', '六片式结构', '正面饰adidas绣标', '均码，旨在适合多数人使用']","['https://img.adidas.com.cn/resources/2018/12/26/15458230468392852_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230565116799_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230492663663_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230581511306_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230510303533_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/1545823054200683_2000X2000.jpg']",中性 训练,7,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/04/06', 'goods_comment_comment': '时尚潮流非常喜欢，以后常来买衣服鞋子帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/23', 'goods_comment_comment': '很好看 跟图片上一样 质量很好 很满意'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '很好的帽子哦，遮光挡雨都可以用啊'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/23', 'goods_comment_comment': '挺好看的 价格也很优惠 百搭款 中国驰名品牌哈哈哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '质量很不错 就是贵了点 用积分券买的 要是券也能用在特价商品上就更好了&middot;'}]",https://www.adidas.com.cn/item/DU0196?locale=zh_CN
HARDEN CAP 运动帽,DW4719,¥229,0,五度灰/黑,"['OSFW', 'OSFM']","[' James Harden詹姆斯·哈登独特的球技让他成为了联盟强将。这款篮球帽，采用棉质帆布面料，含可调节后束带，佩带舒适。正面缀浮面哈登徽标，力求带来MVP风采。 ', '棉', '预成型弧形帽檐', '可调节后束带配夹扣', '六片式结构', '正面缀浮面刺绣哈登徽标']","['https://img.adidas.com.cn/resources/2018/12/7/15441509258536064_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441509351633383_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441509275071857_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441509233789003_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441509292982475_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441509327576388_2000X2000.jpg']",中性 篮球,8,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/01/20', 'goods_comment_comment': '用积分购买的，宝贝很棒，细节处理的很好。'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '东西很棒，冲着登哥去买的，买到了最后一个黑色。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/29', 'goods_comment_comment': '很好很适用，👌👍👍👍👍'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '帽子很好 正合适 平时本来就很难买到帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/19', 'goods_comment_comment': '用的阿迪的优惠券购买的，质量非常好，有很多有心的细节。'}]",https://www.adidas.com.cn/item/DW4719?locale=zh_CN
AC CAP TRE FLAT 帽子,DV0236,¥299,0,黑/白,"['OSFW', 'OSFM']","[' 轻松易搭，适合出街。这款平檐帽，采用水洗棉斜纹布打造，旨在呈现休闲仿旧气质。缀三叶草绣章，更添型格。配简约按扣后带，方便调节。 ', '棉', '平檐', '可调节按扣带']","['https://img.adidas.com.cn/resources/2018/12/7/15441656692124877_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656674956284_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656773858677_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656744746532_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656717009854_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656792758587_2000X2000.jpg']",中性 ORIGINALS,9,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/01/16', 'goods_comment_comment': '帽子戴起来挺好看的，挺喜欢的，不错不错'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '日常服~平常都是穿的三叶草~春节的鞋子在纠结是穿天使还是青花瓷~可惜青花瓷没有女码'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/14', 'goods_comment_comment': '原本想买灯心绒的，可是官网没看见就买的这款，也不错'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '质量还不错，需要专门穿搭才能更显现出美丽哈哈哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/06', 'goods_comment_comment': '尺码正好、非常舒适、做工优质。虽然对我来说贵了，但还是忍不住买了。满意'}]",https://www.adidas.com.cn/item/DV0236?locale=zh_CN
