产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike Run AW84,BV7717-476,￥179,￥0,游戏宝蓝/亮深红,['all'],"['经典舒适，助力畅跑', 'Nike Run AW84\xa0(Shanghai) 可调节跑步运动帽采用经典款型和可调节设计，打造舒适的个性化跑步佩戴体验。', '其他细节', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，耐用舒适', '产品细节', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ilgwuegmw2zrcxv3oe3i/run-aw84-可调节跑步运动帽-RkFMLw.jpg'],(Shanghai) 可调节跑步运动帽,1,womens,2,https://www.nike.com/cn/t/run-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-RkFMLw
Nike SB,AA9976-010,￥199,￥0,黑/白色/黑,['all'],"['日常基本之选', 'Nike SB 滑板针织帽妥善贴合头部，无论是街头出行还是滑板运动皆可营造出色包覆效果，是一款适合日常佩戴的经典单品。', '其他细节', '产品细节', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/gidwsqyabvswfc8pfrs3/sb-滑板针织帽-B8QFl4.jpg'],滑板针织帽,3,womens,2,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E9%92%88%E7%BB%87%E5%B8%BD-B8QFl4/AA9976-010
Nike SB,AA9976-652,￥199,￥0,热恋勃艮第酒红/白色/黑,['all'],"['日常基本之选', 'Nike SB 滑板针织帽妥善贴合头部，无论是街头出行还是滑板运动皆可营造出色包覆效果，是一款适合日常佩戴的经典单品。', '其他细节', '产品细节', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ybdyfoqlfe6ktq3kibjo/sb-滑板针织帽-B8QFl4.jpg'],滑板针织帽,3,womens,2,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E9%92%88%E7%BB%87%E5%B8%BD-B8QFl4/AA9976-652
Nike SB Performance,629243-010,￥169,￥0,黑/黑/黑/白色,['all'],"['经典造型，非凡透气', 'Nike SB Performance 运动帽采用凸起刺绣元素巧搭开放式网眼拼接和平檐剪裁，缔造经典风格和非凡透气性。', '其他细节', '六片式拼接设计配搭衬里镶边，舒适贴合', '刺绣式孔眼搭配网眼拼接设计带来出色透气性', '背面按扣设计，可随头围调节贴合感', '正面刺绣标志突显时尚气息', '产品细节', '面料：100% 聚酯纤维。前片拼接（背面）：92% 聚酯纤维/8% 棉。拼接背面部分：100% 聚酯纤维', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 629243-010', '产品信息描述以629243-010产品为参照，实物的具体信息若与参照物和网站产品图片有出入，请以实物为准。如有其它疑问，请联系我们。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/yixr6vwcorrv10kw69zo/sb-performance-运动帽-XN8Rvn.jpg'],运动帽,4,womens,2,https://www.nike.com/cn/t/sb-performance-%E8%BF%90%E5%8A%A8%E5%B8%BD-XN8Rvn/629243-010
Nike SB Performance,629243-462,￥169,￥0,黑曜石色/风暴粉,['all'],"['经典造型，非凡透气', 'Nike SB Performance 运动帽采用凸起刺绣元素巧搭开放式网眼拼接和平檐剪裁，缔造经典风格和非凡透气性。', '其他细节', '六片式拼接设计配搭衬里镶边，舒适贴合', '刺绣式孔眼搭配网眼拼接设计带来出色透气性', '背面按扣设计，可随头围调节贴合感', '正面刺绣标志突显时尚气息', '产品细节', '面料/拼接背面部分：100% 聚酯纤维。前片拼接（背面）：92% 聚酯纤维/8% 棉。', '手洗', '显示颜色： 黑曜石色/风暴粉', '款式： 629243-462', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/hg64dsxnaupms6qsujy3/sb-performance-运动帽-XN8Rvn.jpg'],运动帽,4,womens,2,https://www.nike.com/cn/t/sb-performance-%E8%BF%90%E5%8A%A8%E5%B8%BD-XN8Rvn/629243-462
Nike Swoosh Cuffed,876501-011,￥199,￥0,黑/白色/白色,['all'],"['稳固贴合，导湿速干', 'Nike Swoosh Cuffed 训练针织帽采用速干面料结合翻边款式设计，在寒冷天气的训练活动中缔造非凡舒适、稳固贴合的佩戴感受。', '其他细节', 'Dri-FIT 面料，帮助保持干爽舒适', '平缝结构，赋予头部顺滑触感', '翻边设计，带来稳固的贴合感', '产品细节', '面料：62% 棉/38% 聚酯纤维。拼接：100% 腈纶。', '手洗', '显示颜色： 黑/白色/白色', '款式： 876501-011', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ntmjnehgawkkvjeqp12c/swoosh-cuffed-训练针织帽-3HjlMg.jpg'],训练针织帽,12,womens,2,https://www.nike.com/cn/t/swoosh-cuffed-%E8%AE%AD%E7%BB%83%E9%92%88%E7%BB%87%E5%B8%BD-3HjlMg
NikeCourt Featherlight,679421-100,￥159,￥0,白色/黑/白色/黑,['all'],"['透气舒适，激战制霸', 'NikeCourt Featherlight 可调节网球运动帽采用黑色下帽檐设计，有效减少刺眼光线，赋予你心无旁骛的凉爽运动体验。', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/黑/白色/黑', '款式： 679421-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c1distcx60p7ehawjube/nikecourt-featherlight-可调节网球运动帽-h6mMZR.jpg'],可调节网球运动帽,14,womens,2,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-h6mMZR/679421-100
NikeCourt Featherlight,679421-010,￥159,￥0,黑/黑/黑/白色,['all'],"['透气舒适，激战制霸', 'Nike Feather Light 可调节网球运动帽采用导湿速干面料，巧妙搭配网眼布透气设计，为你缔造舒适贴合感与出色透气性。黑色下帽檐设计减少炫光，赋予你心无旁骛的运动体验。', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料：100% 聚酯纤维。里料：100% 聚酯纤维。', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 679421-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/z3bz9inia0pblinptyuw/nikecourt-featherlight-可调节网球运动帽-h6mMZR.jpg'],可调节网球运动帽,14,womens,2,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-h6mMZR/679421-010
NikeCourt AeroBill Rafa H86,850666-010,￥169,￥0,黑/白色,['all'],"['轻盈包覆', 'NikeCourt AeroBill H86 Rafa 可调节网球运动帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术有助排汗，营造轻盈透气感受', '优质汗带，有效吸汗', '刺绣孔眼，有效提升透气性', '黑色下帽沿设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '可机洗', '显示颜色： 黑/白色', '款式： 850666-010', '产品信息描述以850666-010产品为参照，实物的具体信息若与参照物和网站产品图片有出入，请以实物为准。如有其它疑问，请联系我们。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/q9wsvqzmtkrpegd2agne/nikecourt-aerobill-rafa-h86-可调节网球运动帽-4tKQtl.jpg'],可调节网球运动帽,15,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-rafa-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-4tKQtl/850666-010
